epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2960.2,1.27115,1.24619,1.46331,0.79909,0.55768,0.61808,0.37363,1.62065,1.3272,1.82109,0.000742625,0.000742625,0.000742625
43,3030.97,1.27153,1.21833,1.45607,0.67012,0.46673,0.54614,0.30602,1.63316,1.35968,1.84657,0.00073025,0.00073025,0.00073025
44,3102.33,1.25216,1.20726,1.44405,0.76627,0.48846,0.57467,0.32321,1.62363,1.32778,1.81397,0.000717875,0.000717875,0.000717875
45,3173.26,1.25247,1.21135,1.43758,0.71217,0.55569,0.60516,0.35034,1.60365,1.3393,1.82341,0.0007055,0.0007055,0.0007055
46,3243.81,1.24998,1.19706,1.43209,0.8091,0.54794,0.62048,0.34097,1.60434,1.32905,1.82775,0.000693125,0.000693125,0.000693125
47,3314.11,1.23706,1.18406,1.42471,0.80089,0.50132,0.61659,0.35296,1.62045,1.32104,1.82414,0.00068075,0.00068075,0.00068075
48,3385.07,1.23479,1.17069,1.42601,0.77013,0.56579,0.65256,0.37897,1.62705,1.27946,1.82064,0.000668375,0.000668375,0.000668375
49,3455.7,1.24187,1.17598,1.43229,0.65504,0.49814,0.56526,0.3222,1.61102,1.28424,1.81009,0.000656,0.000656,0.000656
50,3526.57,1.23048,1.17048,1.42379,0.77845,0.52235,0.62187,0.36723,1.63904,1.25419,1.84759,0.000643625,0.000643625,0.000643625
51,3596.58,1.21388,1.15561,1.41169,0.65353,0.57545,0.62255,0.36187,1.6094,1.23574,1.82249,0.00063125,0.00063125,0.00063125
52,3666.75,1.21376,1.13275,1.40887,0.66819,0.56705,0.60705,0.3501,1.6338,1.30998,1.83482,0.000618875,0.000618875,0.000618875
53,3737.21,1.21042,1.14203,1.40696,0.71135,0.53931,0.60751,0.3563,1.58646,1.26187,1.8037,0.0006065,0.0006065,0.0006065
54,3807.5,1.20342,1.11726,1.40436,0.76716,0.57248,0.64294,0.37011,1.62634,1.30807,1.82401,0.000594125,0.000594125,0.000594125
55,3879.26,1.21841,1.13047,1.40191,0.78929,0.52597,0.63322,0.3754,1.6071,1.24268,1.8108,0.00058175,0.00058175,0.00058175
56,3949.53,1.20438,1.11194,1.39981,0.80333,0.51763,0.58282,0.33585,1.61444,1.2259,1.83459,0.000569375,0.000569375,0.000569375
57,4019.87,1.18943,1.09762,1.38858,0.70483,0.60537,0.62844,0.36414,1.6021,1.23454,1.82625,0.000557,0.000557,0.000557
58,4090.03,1.18351,1.09029,1.38947,0.7354,0.49926,0.55298,0.31761,1.62565,1.3081,1.83351,0.000544625,0.000544625,0.000544625
59,4160.27,1.1819,1.08573,1.38411,0.69578,0.50817,0.59592,0.34508,1.6053,1.23803,1.81536,0.00053225,0.00053225,0.00053225
60,4230.32,1.18241,1.0768,1.38605,0.78372,0.54298,0.61964,0.3493,1.58403,1.25318,1.80743,0.000519875,0.000519875,0.000519875
61,4301.34,1.18296,1.0769,1.38382,0.79152,0.55425,0.62943,0.3678,1.59885,1.23026,1.80804,0.0005075,0.0005075,0.0005075
62,4371.78,1.17433,1.08245,1.38071,0.67011,0.59208,0.62395,0.36819,1.59041,1.22818,1.81048,0.000495125,0.000495125,0.000495125
63,4442.31,1.15731,1.06394,1.36713,0.68635,0.53183,0.61147,0.36627,1.57276,1.19667,1.78265,0.00048275,0.00048275,0.00048275
64,4513.27,1.16082,1.05291,1.36511,0.70791,0.51563,0.5846,0.33408,1.5858,1.23175,1.80012,0.000470375,0.000470375,0.000470375
65,4583.41,1.15985,1.0593,1.36822,0.81209,0.56931,0.63505,0.36562,1.60294,1.20204,1.82308,0.000458,0.000458,0.000458
66,4653.99,1.1526,1.03603,1.35754,0.69195,0.61152,0.63549,0.37538,1.5912,1.22555,1.80346,0.000445625,0.000445625,0.000445625
67,4724.1,1.15557,1.04237,1.35751,0.70754,0.5601,0.60238,0.35294,1.58645,1.25145,1.80169,0.00043325,0.00043325,0.00043325
68,4794.49,1.13724,1.0195,1.34898,0.68029,0.51449,0.57224,0.33293,1.59573,1.19616,1.80705,0.000420875,0.000420875,0.000420875
69,4865.13,1.15544,1.04516,1.36186,0.64661,0.5214,0.6207,0.36,1.59633,1.24544,1.79583,0.0004085,0.0004085,0.0004085
70,4934.31,1.14352,1.01796,1.35289,0.69984,0.58757,0.6105,0.36387,1.59317,1.1911,1.7914,0.000396125,0.000396125,0.000396125
71,5000.93,1.12815,1.00247,1.34301,0.73901,0.55855,0.63718,0.38372,1.59152,1.20151,1.79753,0.00038375,0.00038375,0.00038375
72,5068.04,1.12779,1.00642,1.33998,0.68244,0.60953,0.63525,0.37802,1.58541,1.18984,1.79079,0.000371375,0.000371375,0.000371375
73,5135,1.12289,0.99576,1.33854,0.80498,0.56813,0.65248,0.38602,1.59177,1.15093,1.7986,0.000359,0.000359,0.000359
74,5207.95,1.12075,0.99523,1.3418,0.68635,0.56838,0.62427,0.36431,1.58998,1.20196,1.79711,0.000346625,0.000346625,0.000346625
75,5278.81,1.11448,0.98356,1.33283,0.69103,0.50685,0.6051,0.35537,1.57809,1.20351,1.79583,0.00033425,0.00033425,0.00033425
76,5349.35,1.11622,0.98114,1.33102,0.73904,0.51143,0.60185,0.34874,1.60741,1.22065,1.82114,0.000321875,0.000321875,0.000321875
77,5419.66,1.10277,0.96818,1.32448,0.78374,0.56713,0.63586,0.36656,1.60199,1.20463,1.8092,0.0003095,0.0003095,0.0003095
78,5490.1,1.10434,0.96023,1.32587,0.63888,0.59737,0.62327,0.36316,1.60069,1.18964,1.80989,0.000297125,0.000297125,0.000297125
79,5560.42,1.08709,0.95418,1.32042,0.79816,0.56326,0.65759,0.38682,1.59539,1.22243,1.81937,0.00028475,0.00028475,0.00028475
80,5631.01,1.09392,0.96266,1.32374,0.64583,0.58754,0.60856,0.35898,1.59892,1.20297,1.81673,0.000272375,0.000272375,0.000272375
81,5701.46,1.09315,0.95358,1.31565,0.65233,0.58595,0.62668,0.37255,1.58942,1.22451,1.81071,0.00026,0.00026,0.00026
82,5771.86,1.08929,0.95133,1.31578,0.75779,0.6029,0.6616,0.39058,1.59518,1.22188,1.80655,0.000247625,0.000247625,0.000247625
83,5842.48,1.08089,0.93204,1.30486,0.78302,0.6099,0.66187,0.39398,1.61101,1.26842,1.83705,0.00023525,0.00023525,0.00023525
84,5912.73,1.06939,0.92144,1.30144,0.67329,0.61954,0.66303,0.39216,1.58794,1.20791,1.80473,0.000222875,0.000222875,0.000222875
85,5983.83,1.07767,0.92408,1.30567,0.67314,0.64783,0.66945,0.39392,1.60259,1.20045,1.80779,0.0002105,0.0002105,0.0002105
86,6051.92,1.07174,0.92785,1.30789,0.65092,0.67235,0.65152,0.3814,1.5914,1.21056,1.79999,0.000198125,0.000198125,0.000198125
87,6122.01,1.07326,0.90976,1.3007,0.6578,0.67075,0.65324,0.38361,1.58929,1.20258,1.80103,0.00018575,0.00018575,0.00018575
88,6194.67,1.05982,0.91007,1.29897,0.69867,0.52049,0.61819,0.37094,1.58606,1.20756,1.79944,0.000173375,0.000173375,0.000173375
89,6265.44,1.05254,0.90162,1.29305,0.66431,0.62084,0.64622,0.39357,1.57059,1.20764,1.79009,0.000161,0.000161,0.000161
90,6333.29,1.0658,0.90582,1.29706,0.78892,0.61207,0.67559,0.40992,1.5923,1.19831,1.81477,0.000148625,0.000148625,0.000148625
91,6417,1.0419,0.7837,1.30157,0.78215,0.59423,0.65186,0.39454,1.58203,1.17817,1.79728,0.00013625,0.00013625,0.00013625
92,6486.07,1.0248,0.7471,1.28788,0.66747,0.63577,0.62947,0.38366,1.5756,1.20361,1.79847,0.000123875,0.000123875,0.000123875
93,6573.34,1.0189,0.742,1.28656,0.68609,0.60249,0.63414,0.38128,1.57683,1.18665,1.80095,0.0001115,0.0001115,0.0001115
94,6666.35,1.00569,0.72229,1.27225,0.65972,0.6375,0.64042,0.38279,1.57842,1.19031,1.81137,9.9125e-05,9.9125e-05,9.9125e-05
95,6747.43,0.99513,0.72007,1.267,0.66942,0.60658,0.64159,0.38772,1.56517,1.19386,1.8048,8.675e-05,8.675e-05,8.675e-05
96,6818.22,0.99328,0.72116,1.26893,0.71888,0.56269,0.64159,0.3872,1.56687,1.18511,1.80602,7.4375e-05,7.4375e-05,7.4375e-05
97,6887.16,0.98397,0.71037,1.25559,0.72329,0.55223,0.63258,0.38043,1.57689,1.19056,1.81457,6.2e-05,6.2e-05,6.2e-05
98,6957.7,0.98196,0.70513,1.24902,0.71965,0.58605,0.66049,0.39959,1.57921,1.21096,1.81048,4.9625e-05,4.9625e-05,4.9625e-05
99,7028.05,0.97863,0.70122,1.25525,0.70802,0.59326,0.6426,0.38827,1.57814,1.20579,1.80815,3.725e-05,3.725e-05,3.725e-05
100,7098.84,0.97687,0.70504,1.2572,0.72019,0.58608,0.64335,0.39071,1.5779,1.21353,1.80629,2.4875e-05,2.4875e-05,2.4875e-05
