epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.4154,1.61958,2.42016,1.61935,0.56312,0.24208,0.21976,0.08492,2.00224,2.47298,2.22194,0.000414583,0.000414583,0.000414583
2,145.897,1.71366,2.17407,1.71532,0.49817,0.20243,0.18575,0.07445,2.20798,2.40246,2.38213,0.000823021,0.000823021,0.000823021
3,214.344,1.77576,2.17045,1.77363,0.47463,0.26861,0.19766,0.08267,2.00294,2.55935,2.32911,0.00122321,0.00122321,0.00122321
4,279.25,1.79826,2.15956,1.81282,0.63968,0.23738,0.24151,0.09925,1.91373,2.33531,2.20386,0.00121287,0.00121287,0.00121287
5,346.478,1.76735,2.10092,1.79276,0.61816,0.3098,0.2875,0.12539,1.89236,2.16069,2.17932,0.0012005,0.0012005,0.0012005
6,410.412,1.72795,2.02343,1.75697,0.6515,0.24312,0.23181,0.10362,1.97428,2.81153,2.21697,0.00118812,0.00118812,0.00118812
7,478.511,1.70406,1.98181,1.73797,0.40413,0.44899,0.37645,0.16529,1.83141,1.94879,2.08439,0.00117575,0.00117575,0.00117575
8,544.999,1.68431,1.9431,1.71958,0.40249,0.40815,0.38907,0.17182,1.87753,2.04837,2.11844,0.00116337,0.00116337,0.00116337
9,609.512,1.66097,1.88096,1.70482,0.69284,0.35792,0.39141,0.18289,1.80363,1.83639,2.05616,0.001151,0.001151,0.001151
10,673.881,1.6471,1.83329,1.67377,0.43081,0.33929,0.37267,0.18841,1.7327,1.90015,1.99383,0.00113863,0.00113863,0.00113863
11,739.552,1.62324,1.82118,1.66303,0.38992,0.39097,0.41003,0.1924,1.8148,1.80007,2.03815,0.00112625,0.00112625,0.00112625
12,805.845,1.61398,1.79127,1.65571,0.49751,0.43736,0.43375,0.21386,1.73421,1.78157,1.98834,0.00111388,0.00111388,0.00111388
13,874.734,1.59287,1.75926,1.64992,0.7248,0.41412,0.48511,0.24995,1.7474,1.78018,2.00227,0.0011015,0.0011015,0.0011015
14,941.885,1.58353,1.72918,1.63504,0.70984,0.39775,0.47559,0.24103,1.79909,1.84128,2.00909,0.00108913,0.00108913,0.00108913
15,1009.45,1.57698,1.71635,1.62444,0.75079,0.36833,0.42541,0.20777,1.72486,1.71798,1.95618,0.00107675,0.00107675,0.00107675
16,1079.05,1.56614,1.6906,1.61701,0.71284,0.37529,0.37772,0.17132,1.77759,1.91601,2.05205,0.00106437,0.00106437,0.00106437
17,1146.21,1.54439,1.67062,1.59784,0.70411,0.3672,0.42008,0.21145,1.76136,1.71746,1.99942,0.001052,0.001052,0.001052
18,1213.89,1.545,1.64599,1.59251,0.68665,0.47136,0.49957,0.24715,1.69452,1.73138,1.91697,0.00103962,0.00103962,0.00103962
19,1279.95,1.54323,1.61411,1.5952,0.48893,0.46857,0.49557,0.25334,1.6946,1.61225,1.92613,0.00102725,0.00102725,0.00102725
